Sitename: Bartlett Experimental Forest New Hampshire USA
Location: Latitude: 44.0646  Longitude: -71.2881  Elevation (masl): 272
Principal investigator: Andrew Richardson
Ecosystem type: DBF Deciduous Broadleaf Forests
File creation date: 15FEB2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2004,-1,1.68750,1,1630,-9999,-1.387,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.70833,1,1700,-9999,-1.414,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.72917,1,1730,-9999,-1.573,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.75000,1,1800,-9999,-1.776,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.77083,1,1830,-9999,-2.192,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.79167,1,1900,-9999,-2.431,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.81250,1,1930,-9999,-2.484,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.83333,1,2000,-9999,-2.899,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.85417,1,2030,-9999,-2.74,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.87500,1,2100,-9999,-2.899,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.89583,1,2130,-9999,-3.439,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.91667,1,2200,-9999,-3.598,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.93750,1,2230,-9999,-4.005,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.95833,1,2300,-9999,-4.031,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,1.97917,1,2330,-9999,-4.164,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.00000,2,000,-9999,-3.978,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.02083,2,030,-9999,-3.784,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.04167,2,100,-9999,-3.899,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.06250,2,130,-9999,-3.978,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.08333,2,200,-9999,-4.553,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.10417,2,230,-9999,-4.827,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.12500,2,300,-9999,-5.163,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.14583,2,330,-9999,-4.969,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.16667,2,400,-9999,-5.137,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.18750,2,430,-9999,-5.446,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.20833,2,500,-9999,-5.384,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.22917,2,530,-9999,-5.243,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.25000,2,600,-9999,-4.995,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.27083,2,630,-9999,-4.748,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.29167,2,700,-9999,-4.465,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,8,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.172,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.31250,2,730,-9999,-4.332,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,88,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.184,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.33333,2,800,-9999,-4.111,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,190,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.35417,2,830,-9999,-3.952,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,286,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.37500,2,900,-9999,-3.704,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,370,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.39583,2,930,-9999,-3.784,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,440,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.41667,2,1000,-9999,-3.598,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,494,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.43750,2,1030,-9999,-3.165,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,531,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,2.45833,2,1100,-9999,-3.138,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.33,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,551,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
