#USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
IL	17183	01785114	Vermilion County	2326634937	7531157	898.319	2.908	40.186754	-87.726778                                                                                                                
IL	17185	00424293	Wabash County	578403994	10973569	223.323	4.237	38.445821	-87.839167                                                                                                                   
IL	17187	01785134	Warren County	1404768298	1672625	542.384	0.646	40.850441	-90.620223                                                                                                                   
IL	17189	01785150	Washington County	1457120179	3386079	562.597	1.307	38.35314	-89.417187                                                                                                                
IL	17191	00424296	Wayne County	1848810381	4224962	713.83	1.631	38.431857	-88.43243                                                                                                                      
IL	17193	00424297	White County	1281999217	17833682	494.983	6.886	38.087326	-88.178623                                                                                                                   
IL	17195	01785167	Whiteside County	1771808920	31883751	684.099	12.31	41.750673	-89.911005                                                                                                               
IL	17197	01785190	Will County	2164905500	34569925	835.875	13.348	41.448474	-87.978456                                                                                                                   
IL	17199	01785215	Williamson County	1088338986	62470432	420.21	24.12	37.730353	-88.930018                                                                                                               
IL	17201	01785216	Winnebago County	1328792562	15873992	513.05	6.129	42.337396	-89.161205                                                                                                                
IL	17203	01785231	Woodford County	1366366882	39858698	527.557	15.39	40.789787	-89.210587                                                                                                                
IN	18001	00450401	Adams County	877812925	2693850	338.925	1.04	40.74573	-84.936134                                                                                                                       
IN	18003	00450402	Allen County	1702000525	7347978	657.146	2.837	41.091909	-85.071791                                                                                                                    
IN	18005	00451683	Bartholomew County	1053968861	6715105	406.94	2.593	39.205843	-85.897999                                                                                                               
IN	18007	00450403	Benton County	1052616459	236033	406.418	0.091	40.600939	-87.314786                                                                                                                    
IN	18009	00450404	Blackford County	427559406	1298757	165.082	0.501	40.472672	-85.32373                                                                                                                  
IN	18011	00450405	Boone County	1095260015	876741	422.882	0.339	40.050892	-86.469014                                                                                                                     
IN	18013	00451684	Brown County	808043848	12025990	311.987	4.643	39.195113	-86.230121                                                                                                                    
IN	18015	00450406	Carroll County	964057410	7236323	372.225	2.794	40.58498	-86.565141                                                                                                                    
IN	18017	00450339	Cass County	1067448399	7002034	412.144	2.704	40.753799	-86.355168                                                                                                                     
IN	18019	00450340	Clark County	964737730	10702951	372.487	4.132	38.476217	-85.711122                                                                                                                    
IN	18021	00450341	Clay County	926180653	7047383	357.6	2.721	39.393928	-87.115858                                                                                                                        
IN	18023	00450342	Clinton County	1049119199	461117	405.067	0.178	40.305944	-86.477567                                                                                                                   
IN	18025	00451674	Crawford County	791534795	8201106	305.613	3.166	38.289433	-86.440871                                                                                                                  
IN	18027	00450343	Daviess County	1112436829	19061974	429.514	7.36	38.69609	-87.076943                                                                                                                   
IN	18029	00450344	Dearborn County	790171255	6019020	305.087	2.324	39.140897	-84.975868                                                                                                                  
IN	18031	00450345	Decatur County	964946132	1955432	372.568	0.755	39.30598	-85.499831                                                                                                                    
IN	18033	00450346	DeKalb County	939735804	2657419	362.834	1.026	41.39676	-85.002697                                                                                                                     
IN	18035	00450347	Delaware County	1015558818	9841207	392.109	3.8	40.227543	-85.399262                                                                                                                   
IN	18037	00451675	Dubois County	1106616362	20892925	427.267	8.067	38.373344	-86.873385                                                                                                                  
IN	18039	00450348	Elkhart County	1199580238	12457801	463.161	4.81	41.600693	-85.863986                                                                                                                  
IN	18041	00450349	Fayette County	556901575	366408	215.021	0.141	39.639654	-85.185034                                                                                                                    
IN	18043	00450350	Floyd County	384571595	2676083	148.484	1.033	38.318081	-85.911847                                                                                                                     
IN	18045	00450351	Fountain County	1024774339	5728993	395.668	2.212	40.121237	-87.234872                                                                                                                 
IN	18047	00450352	Franklin County	995658286	17155846	384.426	6.624	39.409762	-85.066964                                                                                                                 
IN	18049	00450353	Fulton County	954133332	7439345	368.393	2.872	41.050384	-86.265006                                                                                                                    
IN	18051	00450354	Gibson County	1262302951	30891646	487.378	11.927	38.317398	-87.580523                                                                                                                 
IN	18053	00450355	Grant County	1072484435	2101803	414.089	0.812	40.515758	-85.654946                                                                                                                    
IN	18055	00451676	Greene County	1404983933	8919619	542.467	3.444	39.047147	-87.004771                                                                                                                   
IN	18057	00450356	Hamilton County	1021441624	20942536	394.381	8.086	40.053513	-86.021709                                                                                                                
IN	18059	00450357	Hancock County	792425277	2769690	305.957	1.069	39.822529	-85.77315                                                                                                                    
IN	18061	00451677	Harrison County	1253763070	5277000	484.081	2.037	38.186454	-86.103766                                                                                                                 
IN	18063	00450358	Hendricks County	1053849437	4880780	406.894	1.884	39.768963	-86.509908                                                                                                                
IN	18065	00450359	Henry County	1014957931	7652084	391.877	2.954	39.929591	-85.397363                                                                                                                    
IN	18067	00450360	Howard County	759058622	2194576	293.074	0.847	40.483537	-86.114118                                                                                                                    
IN	18069	00450361	Huntington County	991031147	13127296	382.639	5.068	40.826394	-85.478597                                                                                                               
IN	18071	00451678	Jackson County	1320836469	10174044	509.978	3.928	38.911957	-86.042516                                                                                                                 
IN	18073	00450494	Jasper County	1449563750	4428654	559.68	1.71	41.017688	-87.118814                                                                                                                     
IN	18075	00450362	Jay County	994310124	458556	383.905	0.177	40.434956	-85.002331                                                                                                                        
IN	18077	00450363	Jefferson County	934204258	5992630	360.698	2.314	38.783604	-85.44009                                                                                                                  
IN	18079	00450364	Jennings County	975382328	4528274	376.597	1.748	38.996229	-85.628103                                                                                                                  
IN	18081	00450365	Johnson County	829870741	3563935	320.415	1.376	39.496092	-86.094264                                                                                                                   
IN	18083	00450366	Knox County	1335995220	20908206	515.831	8.073	38.688381	-87.420358                                                                                                                    
IN	18085	00450367	Kosciusko County	1376439342	59432000	531.446	22.947	41.244293	-85.861575                                                                                                              
IN	18087	00450368	LaGrange County	983239270	18315631	379.631	7.072	41.642462	-85.427845                                                                                                                 
IN	18089	00450495	Lake County	1292117916	330842544	498.89	127.739	41.472247	-87.374337                                                                                                                  
IN	18091	00450507	LaPorte County	1549560917	38773767	598.289	14.971	41.549013	-86.744739                                                                                                                
IN	18093	00451703	Lawrence County	1163282516	7207557	449.146	2.783	38.839815	-86.48782                                                                                                                  
IN	18095	00450370	Madison County	1170470191	2546731	451.921	0.983	40.166203	-85.722454                                                                                                                  
IN	18097	00450371	Marion County	1025609006	18178631	395.99	7.019	39.782976	-86.135794                                                                                                                   
IN	18099	00450372	Marshall County	1148969978	15858580	443.62	6.123	41.325003	-86.269036                                                                                                                 
IN	18101	00451679	Martin County	869615719	12033245	335.761	4.646	38.705322	-86.801847                                                                                                                   
IN	18103	00450373	Miami County	968246954	9184623	373.842	3.546	40.772883	-86.044258                                                                                                                     
IN	18105	00451680	Monroe County	1021806891	43510634	394.522	16.8	39.160729	-86.52331                                                                                                                    
IN	18107	00450374	Montgomery County	1307030257	2067987	504.647	0.798	40.040296	-86.892715                                                                                                               
IN	18109	00450375	Morgan County	1045922857	14491958	403.833	5.595	39.482646	-86.447457                                                                                                                  
IN	18111	00450376	Newton County	1040539826	4349506	401.755	1.679	40.962399	-87.402172                                                                                                                   
IN	18113	00450377	Noble County	1064085737	17060235	410.846	6.587	41.404679	-85.417271                                                                                                                   
IN	18115	00450378	Ohio County	223126824	3369528	86.15	1.301	38.940527	-84.964299                                                                                                                        
IN	18117	00451681	Orange County	1031795760	25416478	398.379	9.813	38.547381	-86.489257                                                                                                                  
IN	18119	00450379	Owen County	997909062	6568942	385.295	2.536	39.317339	-86.838845                                                                                                                      
IN	18121	00450380	Parke County	1151822274	13655204	444.721	5.272	39.77425	-87.19695                                                                                                                     
IN	18123	00451682	Perry County	988702371	11837413	381.74	4.57	38.081436	-86.62654                                                                                                                       
IN	18125	00450381	Pike County	865964082	17466144	334.351	6.744	38.397961	-87.232547                                                                                                                     
IN	18127	00450382	Porter County	1082907706	268619697	418.113	103.715	41.509914	-87.071313                                                                                                               
IN	18129	00450383	Posey County	1060302168	26505383	409.385	10.234	38.027614	-87.868653                                                                                                                  
IN	18131	00446852	Pulaski County	1123212804	2224821	433.675	0.859	41.045272	-86.692538                                                                                                                  
IN	18133	00450384	Putnam County	1244585885	5585892	480.537	2.157	39.665548	-86.853373                                                                                                                   
IN	18135	00446853	Randolph County	1171656772	2420288	452.379	0.934	40.164079	-85.00579                                                                                                                  
IN	18137	00450385	Ripley County	1156241451	4232758	446.427	1.634	39.100226	-85.260494                                                                                                                   
IN	18139	00446854	Rush County	1057069253	838340	408.137	0.324	39.622362	-85.466529                                                                                                                      
IN	18141	00452855	St. Joseph County	1185646711	9336371	457.781	3.605	41.617723	-86.288048                                                                                                               
IN	18143	00450386	Scott County	493140263	6074951	190.403	2.346	38.679431	-85.751898                                                                                                                     
IN	18145	00450387	Shelby County	1064838382	4195717	411.136	1.62	39.524135	-85.792174                                                                                                                    
IN	18147	00450388	Spencer County	1027934787	11968675	396.888	4.621	38.009697	-87.010375                                                                                                                 
IN	18149	00450389	Starke County	800679819	7929143	309.144	3.061	41.284478	-86.644636                                                                                                                    
IN	18151	00450390	Steuben County	799737098	35446880	308.78	13.686	41.643467	-85.002405                                                                                                                  
IN	18153	00450391	Sullivan County	1158231909	17922659	447.196	6.92	39.089225	-87.415843                                                                                                                 
IN	18155	00450392	Switzerland County	571526242	7531847	220.668	2.908	38.825854	-85.029681                                                                                                               
IN	18157	00450393	Tippecanoe County	1292138881	11255447	498.898	4.346	40.389133	-86.893554                                                                                                              
IN	18159	00450394	Tipton County	674797599	68028	260.541	0.026	40.310229	-86.056207                                                                                                                      
IN	18161	00450395	Union County	417480472	10326625	161.19	3.987	39.623094	-84.925145                                                                                                                     
IN	18163	00450396	Vanderburgh County	604506338	8955935	233.401	3.458	38.02007	-87.586166                                                                                                                
IN	18165	00450397	Vermillion County	665353010	7817397	256.894	3.018	39.854045	-87.462071                                                                                                                
IN	18167	00450398	Vigo County	1045400270	17661310	403.631	6.819	39.430874	-87.390989                                                                                                                    
IN	18169	00450399	Wabash County	1068471085	21851089	412.539	8.437	40.843747	-85.795192                                                                                                                  
IN	18171	00450400	Warren County	944543937	4442757	364.69	1.715	40.352498	-87.375163                                                                                                                     
IN	18173	00450335	Warrick County	996186009	16631845	384.63	6.422	38.097728	-87.272049                                                                                                                   
IN	18175	00451665	Washington County	1330447135	7529046	513.689	2.907	38.600613	-86.104751                                                                                                               
IN	18177	00450336	Wayne County	1040539369	6701882	401.755	2.588	39.863091	-85.006735                                                                                                                    
IN	18179	00450337	Wells County	953341278	5596377	368.087	2.161	40.735547	-85.213349                                                                                                                     
IN	18181	00450338	White County	1308297040	9176034	505.136	3.543	40.75095	-86.864293                                                                                                                     
IN	18183	00450369	Whitley County	869256022	6074674	335.622	2.345	41.136426	-85.501892                                                                                                                   
IA	19001	00465190	Adair County	1474404192	2597996	569.271	1.003	41.328528	-94.478164                                                                                                                    
IA	19003	00465191	Adams County	1096686253	5367876	423.433	2.073	41.021656	-94.696906                                                                                                                    
IA	19005	00465192	Allamakee County	1655186561	51091699	639.071	19.727	43.274964	-91.382751                                                                                                              
IA	19007	00465193	Appanoose County	1287997902	49093607	497.299	18.955	40.744249	-92.873062                                                                                                              
IA	19009	00465194	Audubon County	1147262317	1152260	442.96	0.445	41.679178	-94.904312                                                                                                                   
IA	19011	00465195	Benton County	1854696287	5857896	716.102	2.262	42.092547	-92.05763                                                                                                                    
IA	19013	00465196	Black Hawk County	1465303202	17928724	565.757	6.922	42.471132	-92.3076                                                                                                                
IA	19015	00465197	Boone County	1477486979	8209423	570.461	3.17	42.038623	-93.938605                                                                                                                     
IA	19017	00465198	Bremer County	1127886260	10165785	435.479	3.925	42.780895	-92.327356                                                                                                                  
IA	19019	00465199	Buchanan County	1479086684	5223044	571.079	2.017	42.470328	-91.838666                                                                                                                 
IA	19021	00465200	Buena Vista County	1488981872	13798140	574.899	5.327	42.741522	-95.141432                                                                                                             
IA	19023	00465201	Butler County	1502550827	4194983	580.138	1.62	42.734757	-92.780153                                                                                                                    
IA	19025	00465202	Calhoun County	1475894592	5873827	569.846	2.268	42.386061	-94.643602                                                                                                                  
IA	19027	00465203	Carroll County	1474877207	2145349	569.453	0.828	42.039502	-94.86765                                                                                                                   
IA	19029	00465204	Cass County	1461422459	1787165	564.258	0.69	41.333824	-94.933302                                                                                                                      
IA	19031	00465205	Cedar County	1500798732	6385833	579.462	2.466	41.77236	-91.132611                                                                                                                     
IA	19033	00465206	Cerro Gordo County	1471889953	17659669	568.3	6.818	43.074975	-93.250965                                                                                                               
IA	19035	00465207	Cherokee County	1494181144	423160	576.907	0.163	42.742737	-95.633262                                                                                                                  
IA	19037	00465208	Chickasaw County	1306192614	3455450	504.324	1.334	43.059741	-92.31721                                                                                                                 
IA	19039	00465209	Clarke County	1116573604	1524746	431.111	0.589	41.029726	-93.785259                                                                                                                   
IA	19041	00465625	Clay County	1469139443	13866670	567.238	5.354	43.081224	-95.149875                                                                                                                    
IA	19043	00465210	Clayton County	2016211326	36692127	778.464	14.167	42.840985	-91.323576                                                                                                                
IA	19045	00465211	Clinton County	1799934697	39410955	694.959	15.217	41.898073	-90.534243                                                                                                                
IA	19047	00465212	Crawford County	1849765413	2171717	714.198	0.839	42.043119	-95.38909                                                                                                                  
IA	19049	00465213	Dallas County	1523516297	8735225	588.233	3.373	41.68532	-94.040706                                                                                                                    
IA	19051	00465214	Davis County	1300661926	6904087	502.188	2.666	40.748089	-92.410345                                                                                                                    
IA	19053	00465215	Decatur County	1377569409	4138626	531.883	1.598	40.736379	-93.78458                                                                                                                   
IA	19055	00465216	Delaware County	1496193387	3185375	577.684	1.23	42.473014	-91.366767                                                                                                                  
IA	19057	00465217	Des Moines County	1077769233	35341938	416.129	13.646	40.915339	-91.186925                                                                                                             
IA	19059	00465218	Dickinson County	985574546	60680641	380.532	23.429	43.389611	-95.196057                                                                                                               
IA	19061	00465219	Dubuque County	1575486019	21140740	608.299	8.162	42.463481	-90.878771                                                                                                                 
IA	19063	00465220	Emmet County	1025349325	17175565	395.89	6.632	43.377984	-94.66937                                                                                                                     
IA	19065	00465221	Fayette County	1892806760	1354955	730.817	0.523	42.864122	-91.840376                                                                                                                  
IA	19067	00465222	Floyd County	1296471923	2023930	500.571	0.781	43.052741	-92.787367                                                                                                                    
IA	19069	00465223	Franklin County	1507300418	1438346	581.972	0.555	42.736545	-93.271415                                                                                                                 
IA	19071	00465224	Fremont County	1323918215	14168938	511.168	5.471	40.74259	-95.599182                                                                                                                  
IA	19073	00465225	Greene County	1475148030	4404193	569.558	1.7	42.042513	-94.388727                                                                                                                     
IA	19075	00465226	Grundy County	1299799697	92512	501.855	0.036	42.403339	-92.790244                                                                                                                     
IA	19077	00465227	Guthrie County	1529656727	6355531	590.604	2.454	41.683573	-94.501272                                                                                                                  
IA	19079	00465228	Hamilton County	1493725535	1956182	576.731	0.755	42.390789	-93.70913                                                                                                                  
IA	19081	00465229	Hancock County	1478895051	5265568	571.005	2.033	43.075411	-93.743697                                                                                                                  
IA	19083	00465230	Hardin County	1474498036	1783759	569.307	0.689	42.390208	-93.241669                                                                                                                   
IA	19085	00465231	Harrison County	1804896269	12325506	696.874	4.759	41.688584	-95.827149                                                                                                                
IA	19087	00465232	Henry County	1124800190	5774829	434.288	2.23	40.984802	-91.547259                                                                                                                     
IA	19089	00465233	Howard County	1225702840	931480	473.247	0.36	43.365312	-92.321908                                                                                                                     
IA	19091	00465234	Humboldt County	1125017999	3373409	434.372	1.302	42.782221	-94.202775                                                                                                                 
IA	19093	00465235	Ida County	1117614339	1391966	431.513	0.537	42.39186	-95.507421                                                                                                                       
IA	19095	00465236	Iowa County	1518911690	2686847	586.455	1.037	41.683918	-92.059123                                                                                                                     
IA	19097	00465237	Jackson County	1647340582	35133402	636.042	13.565	42.164226	-90.574582                                                                                                                
IA	19099	00465238	Jasper County	1891795093	6544165	730.426	2.527	41.685551	-93.054147                                                                                                                   
IA	19101	00465239	Jefferson County	1128002432	3522238	435.524	1.36	41.006376	-91.966628                                                                                                                 
IA	19103	00465240	Johnson County	1587655795	26070847	612.997	10.066	41.670668	-91.590529                                                                                                                
IA	19105	00465241	Jones County	1490844764	3782491	575.618	1.46	42.125118	-91.116914                                                                                                                     
IA	19107	00465242	Keokuk County	1500056811	1944064	579.175	0.751	41.331182	-92.167721                                                                                                                   
IA	19109	00465243	Kossuth County	2519361810	4125592	972.731	1.593	43.212356	-94.213965                                                                                                                  
IA	19111	00465244	Lee County	1340448559	55266767	517.55	21.339	40.647588	-91.477157                                                                                                                     
IA	19113	00465245	Linn County	1857048431	19835227	717.01	7.658	42.077951	-91.597674                                                                                                                     
IA	19115	00465246	Louisa County	1040596799	40784321	401.777	15.747	41.218211	-91.256994                                                                                                                 
IA	19117	00465247	Lucas County	1115458264	9852845	430.681	3.804	41.033344	-93.331467                                                                                                                    
IA	19119	00465248	Lyon County	1521901260	440273	587.609	0.17	43.38358	-96.207201                                                                                                                        
IA	19121	00465249	Madison County	1452999047	2983840	561.006	1.152	41.330622	-94.015184                                                                                                                  
IA	19123	00465250	Mahaska County	1478496994	6594320	570.851	2.546	41.330797	-92.636366                                                                                                                  
IA	19125	00465251	Marion County	1436123091	41484609	554.49	16.017	41.331433	-93.093868                                                                                                                  
IA	19127	00465252	Marshall County	1482776071	1803080	572.503	0.696	42.0417	-92.981403                                                                                                                   
IA	19129	00465253	Mills County	1132940500	8316363	437.431	3.211	41.033703	-95.619101                                                                                                                    
IA	19131	00465254	Mitchell County	1215368214	1118491	469.256	0.432	43.348564	-92.784466                                                                                                                 
IA	19133	00465255	Monona County	1797639076	12591063	694.072	4.861	42.049432	-95.956566                                                                                                                  
IA	19135	00465256	Monroe County	1123299102	1522790	433.708	0.588	41.028847	-92.869642                                                                                                                   
IA	19137	00465257	Montgomery County	1098405769	2410446	424.097	0.931	41.021735	-95.15779                                                                                                                
IA	19139	00465258	Muscatine County	1132964480	30262337	437.44	11.684	41.483776	-91.118699                                                                                                               
IA	19141	00465259	O'Brien County	1484153956	447448	573.035	0.173	43.083746	-95.625624                                                                                                                   
IA	19143	00465260	Osceola County	1032593803	1835263	398.687	0.709	43.378542	-95.633788                                                                                                                  
IA	19145	00465261	Page County	1385497643	1359014	534.944	0.525	40.739097	-95.144301                                                                                                                     
IA	19147	00465262	Palo Alto County	1460400553	14428727	563.864	5.571	43.075337	-94.669055                                                                                                               
IA	19149	00465263	Plymouth County	2234715258	2176851	862.828	0.84	42.737585	-96.215864                                                                                                                  
IA	19151	00465264	Pocahontas County	1495047199	3666528	577.241	1.416	42.734033	-94.678279                                                                                                               
IA	19153	00465265	Polk County	1482460078	50523820	572.381	19.507	41.684816	-93.568971                                                                                                                   
IA	19155	00465266	Pottawattamie County	2463783967	20387189	951.272	7.872	41.340184	-95.544905                                                                                                           
IA	19157	00465267	Poweshiek County	1514943343	2961952	584.923	1.144	41.684642	-92.522934                                                                                                                
IA	19159	00465268	Ringgold County	1386898611	8756867	535.485	3.381	40.735334	-94.244251                                                                                                                 
IA	19161	00465269	Sac County	1489300201	8569436	575.022	3.309	42.387526	-95.105224                                                                                                                      
IA	19163	00465270	Scott County	1186463531	26196368	458.096	10.114	41.642079	-90.622289                                                                                                                  
IA	19165	00465271	Shelby County	1530103550	1486125	590.776	0.574	41.679014	-95.308917                                                                                                                   
IA	19167	00465272	Sioux County	1988881470	2802041	767.911	1.082	43.082646	-96.17801                                                                                                                     
IA	19169	00465273	Story County	1482882549	2862354	572.544	1.105	42.037538	-93.466093                                                                                                                    
IA	19171	00465274	Tama County	1867410495	2769418	721.011	1.069	42.074848	-92.529411                                                                                                                     
IA	19173	00465275	Taylor County	1377618878	7133363	531.902	2.754	40.737949	-94.697108                                                                                                                   
IA	19175	00465276	Union County	1097235795	5575854	423.645	2.153	41.02855	-94.245091                                                                                                                     
IA	19177	00465277	Van Buren County	1255605676	14880499	484.792	5.745	40.754117	-91.952943                                                                                                               
IA	19179	00465278	Wapello County	1118466908	10822775	431.843	4.179	41.031275	-92.409466                                                                                                                 
IA	19181	00465279	Warren County	1475406267	8647198	569.658	3.339	41.332446	-93.568751                                                                                                                   
IA	19183	00465280	Washington County	1473258541	5339036	568.828	2.061	41.329401	-91.725052                                                                                                               
IA	19185	00465281	Wayne County	1360957548	4272458	525.469	1.65	40.739983	-93.332613                                                                                                                     
IA	19187	00465282	Webster County	1853665899	7269394	715.704	2.807	42.433579	-94.175831                                                                                                                  
IA	19189	00465283	Winnebago County	1037261957	3182049	400.489	1.229	43.378124	-93.743488                                                                                                                
IA	19191	00465284	Winneshiek County	1786686738	745729	689.844	0.288	43.292989	-91.850788                                                                                                                
IA	19193	00465285	Woodbury County	2260790944	12793666	872.896	4.94	42.39322	-96.053296                                                                                                                  
IA	19195	00465286	Worth County	1036314929	4709127	400.123	1.818	43.373491	-93.248533                                                                                                                    
IA	19197	00465287	Wright County	1503260259	4703964	580.412	1.816	42.733007	-93.734735                                                                                                                   
KS	20001	00484970	Allen County	1295764235	13021929	500.297	5.028	37.884228	-95.300945                                                                                                                   
KS	20003	00484971	Anderson County	1501263984	10599676	579.641	4.093	38.215114	-95.292046                                                                                                                
KS	20005	00484972	Atchison County	1116736556	6851102	431.174	2.645	39.532544	-95.313397                                                                                                                 
KS	20007	00484973	Barber County	2937240778	5411508	1134.075	2.089	37.222906	-98.685052                                                                                                                  
KS	20009	00484974	Barton County	2318705427	13926862	895.257	5.377	38.481239	-98.767837                                                                                                                  
KS	20011	00484975	Bourbon County	1645836648	9402853	635.461	3.63	37.8561	-94.850928                                                                                                                     
KS	20013	00484976	Brown County	1478550072	3196147	570.871	1.234	39.825931	-95.569905                                                                                                                    
KS	20015	00484977	Butler County	3702946932	43541269	1429.716	16.811	37.773649	-96.83884                                                                                                                 
KS	20017	00484978	Chase County	2002198770	12091093	773.053	4.668	38.299475	-96.594029                                                                                                                   
KS	20019	00484979	Chautauqua County	1654694134	15243776	638.881	5.886	37.154259	-96.245396                                                                                                              
KS	20021	00484980	Cherokee County	1521791034	8951464	587.567	3.456	37.169392	-94.845698                                                                                                                 
KS	20023	00484981	Cheyenne County	2641501923	2738021	1019.89	1.057	39.789901	-101.727317                                                                                                                
KS	20025	00484982	Clark County	2524300310	6603384	974.638	2.55	37.233831	-99.813869                                                                                                                     
KS	20027	00484983	Clay County	1671314415	26701337	645.298	10.309	39.344964	-97.168853                                                                                                                   
KS	20029	00484984	Cloud County	1852726652	6859888	715.342	2.649	39.487329	-97.64139                                                                                                                     
KS	20031	00484985	Coffey County	1623623909	70470788	626.885	27.209	38.23645	-95.729137                                                                                                                  
KS	20033	00484986	Comanche County	2041681087	3604155	788.298	1.392	37.181442	-99.251293                                                                                                                 
KS	20035	00484987	Cowley County	2915648168	17322935	1125.738	6.688	37.234507	-96.837247                                                                                                                 
KS	20037	00484988	Crawford County	1527499257	13573629	589.771	5.241	37.505821	-94.853897                                                                                                                
KS	20039	00484989	Decatur County	2314199321	1631670	893.517	0.63	39.783542	-100.459708                                                                                                                  
KS	20041	00484990	Dickinson County	2193895358	12632458	847.068	4.877	38.867735	-97.157943                                                                                                               
KS	20043	00484991	Doniphan County	1019096302	12433564	393.475	4.801	39.788502	-95.147225                                                                                                                
