StatementID,Committee,Type,CommitteeNumber,Candidate,FilingDate,AmendedDate,OfficialFiling,TransactionDate,LastName,FirstName,Street,City,State,Zip,Expenditure,Purpose,AmendsExpenditureID,ExpenditureID,
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Vista Print,,275 Wyman Street,Waltham,MA,,$10.61,Campaign Business Cards,,6461
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/19/2021,Twilio,,375 Beale St #300,San Fransisco,CA,,$200.00,Texting platform,,6462
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/15/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software ,,6463
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$25.00,Facebook boosting,,6464
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$35.00,Facebook boosting,,6465
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/14/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$125.00,Facebook Boosting,,6466
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Zapier,,548 Market St. #62411,San Francisco,CA,,$24.99,Software,,6467
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$50.00,Facebook boosting,,6468
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/13/2021,LinkedIn,,605 W Maude Ave,Sunnyvale,CA,,$70.93,LinkedIn Boosting,,6469
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/15/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$75.00,Facebook boosting,,6470
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/19/2021,Twilio,,375 Beale St. #300,San Francisco,CA,,$150.00,Texting Platform,,6471
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/23/2021,Twilio,,375 Beale St. #300,San Francisco,CA,,$50.00,Texting Platform,,6472
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/12/2021,Vista Print,,275 Wyman Street,Waltham,MA,,$12.25,Campaign Business Cards,,6473
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,03/31/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$75.00,Facebook boosting,,6474
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/02/2021,Staples,,1601 29th St Suite 1292,Boulder,CO,,$68.95,Ink for printing,,6475
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/12/2021,Vista Print,,275 Wyman Street,Waltham,MA,,$73.19,Campaign Business Cards,,6476
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/02/2021,Staples,,1601 29th St Suite 1292,Boulder,CO,,$15.12,Ink for printing,,6477
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/08/2021,Twilio,,375 Beale St. #300,San Francisco,CA,,$250.00,Texting Platform,,6478
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/08/2021,Facebook,,1 Hacker Way,Menlo Park,CA,,$104.14,Facebook boosting,,6479
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/12/2021,Twilio,,375 Beale St. #300,San Francisco,CA,,$100.00,Texting Platform,,6480
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/12/2021,QR-Code-Generator,,Am Lenkwerk 13,Bielefeld,CO,,$71.54,QR Code generation,,6481
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,04/12/2021,Wells Fargo,,623 S Broadway,Boulder,CO,,$2.14,Bank Fee,,6482
1277,Bedrooms Are For People,Ballot Measure Committee,2021-BMC-001,,09/21/2021,Invalid Date,42nd day before election,09/19/2021,DonorBox,,5 3rd St; Suite 900,San Francisco,CA,,$1003.17,Donation Transaction Fees,,6483
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,07/07/2021,CO Secy State,,PO Box,Denver,CO,,$50.00,Nonprofit registration,,6579
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,09/10/2021,CO Secy State,,PO Box,Denver,CO,,$20.00,Trade Name Registration,,6580
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,07/31/2021,Google,,1600 Amphitheatre Pkwy,Mountain View,CA,,$1.98,Online Services,,6581
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,08/31/2021,Google,,1600 Amphitheatre Pkwy,Mountain View,CA,,$16.00,Online Services,,6582
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,09/11/2021,Amazon Web Services,,PO Box 81226,Seattle ,VA,,$12.00,Domain Name,,6583
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,09/11/2021,Amazon Web Services,,PO Box 81226,Seattle ,WA,,$12.00,Domain Name,,6584
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,08/11/2021,Amazon Web Services,,PO Box 81226,Seattle ,WA,,$12.00,Domain Name,,6585
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,08/11/2021,Amazon Web Services,,PO Box 81226,Seattle ,WA,,$12.00,Domain Name,,6586
1278,NO on Bedroom$,Ballot Measure Committee,2021-BMC-002,,09/14/2021,Invalid Date,3 days after committee certification,08/20/2021,Amazon Web Services,,PO Box 81226,Seattle ,WA,,$12.00,Domain Name,,6587
1279,Save CU South,Ballot Measure Committee,2021-BMC-003,,07/30/2021,Invalid Date,3 days after committee certification,07/26/2021,Sundell Solutions,,7331 Petersdale Court,Boulder,CO,80301,$600.00,Website design; launch; maintenance-partial payment,,6265
1280,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,08/06/2021,Invalid Date,3 days after committee certification,05/18/2021,Wix.com,,10 West 18th Street,New York,NY,10011,$14.95,Domain Name,,6274
1280,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,08/06/2021,Invalid Date,3 days after committee certification,07/16/2021,Wix.com,,10 West 18th Street,New York,NY,10011,$138.00,Website,,6275
1280,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,08/06/2021,Invalid Date,3 days after committee certification,07/16/2021,Wix.com,,10 West 18th Street,New York,NY,10011,$24.85,Domain Name,,6276
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,07/20/2021,Purebuttons.com,,4930 Chippewa Road ,Medina,OH,,$51.35,Steve for Boulder Lapel Buttons,,6267
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,07/22/2021,Colorado Secretary of State,,1700 Broadway #550,Denver,CO,,$20.00,Trade Name Registration,,6268
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,07/24/2021,Wix.com,,40 Namal  6350671 ,Tel Aviv,CO,,$19.00,Website Hosting,,6269
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,06/30/2021,Google; LLC,,1600 Amphitheatre Pkwy,Mountain View,CA,94043,$36.00,Domain name registration x 3,,6271
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,07/30/2021,Super Cheap Signs		,,9200 Waterford Centre Blvd	,Austin,TX,78757,$1818.40,Yardsigns,,6272
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,08/05/2021,PayPal,, 2211 N 1st St,San Jose ,CA, 95131,$27.94,Transaction Fees,,6273
1281,Steve for Boulder,Official Candidate Committee,2021-OCC-009,Steven Rosenblum,08/23/2021,08/23/2021,3 days after committee certification,08/06/2021,Super Cheap Signs,,9200 Waterford Centre Blvd.,Austin,TX,78757,$281.00,Yardsigns,,6330
1282,Lauren Folkerts for Boulder,Official Candidate Committee,2021-OCC-007,Lauren Folkerts,08/04/2021,Invalid Date,3 days after committee certification,06/25/2021,Google Domains,,1600 Amphitheatre Parkway,Mountain View,CA,,$12.00,Registering domain name for the campaign website,,6270
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,06/02/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$55.96,Business Card Magnet,,6296
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,06/02/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$95.40,Matte Finish Button,,6297
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,06/10/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$60.33,Full Color BIC Custom Sticky Notes,,6298
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,06/01/2021,My Domain ,,1500 N Priest Dr; 200; 2nd Fl,Tempe,AZ,85281,$19.98,Website Domain,,6299
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,06/21/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$20.00,Pens,,6300
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,07/20/2021,Square,,1455 Market St; 600,San Francisco,CA,94103,$53.33,Credit Card Reader,,6301
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,07/20/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,CO,56301,$1656.80,Double-Sided Custom Yard Signs - 26"w x 16"h,,6302
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,07/21/2021,EPromos Promotional Products ,,113 5th Ave S,St. Cloud,MN,56301,$127.00,6' table cover,,6303
1283,Tara Winer for Council,Official Candidate Committee,2021-OCC-010,Tara Winer,08/06/2021,Invalid Date,3 days after committee certification,08/04/2021,Fedex Office,,2616 Baseline Rd,Boulder,CO,80305,$56.55,Campaign: Printing,,6304
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/04/2021,Super Cheap Signs,,9200 Wateford Center Blvd Suite 100,Austin,TX,78758,$1388.54,yard signs,,6278
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/01/2021,McKenna Daniels Design,,2932 4th Street,Boulder,CO,80304,$500.00,Creative services,,6279
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,07/27/2021,M Dillon,,@MissShellShockCoaching,Boulder,CO,80304,$500.00,web services,,6280
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/01/2021,Pure Buttons,,4930 CHIPPEWA ROAD - UNIT A,Medina,OH,44256,$71.50,Buttons,,6281
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,07/21/2021,Uprinting,,8000 Haskell Ave,VanNuys,CA,91406,$76.37,Stickers,,6282
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,07/26/2021,Staples,,1601 Suite 1292,Boulder,CO,80301,$9.99,Office supplies,,6283
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/02/2021,OfficeDepot,,1905 28th Street,Boulder,CO,80302,$30.03,Office supplies,,6284
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/02/2021,Target,,2800 Pearl Street,Boulder,CO,80301,$7.49,Office supplies,,6285
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/02/2021,USPS,,2700 Broadway Street,Boulder,CO,80301,$55.00,Postage,,6286
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/01/2021,Costco,,600 Marshall Rd,Superior,CO,80027,$123.96,Food and supplies,,6288
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/05/2021,Amazon,,Amazon.com,Seattle,WA,98109,$92.88,Office supplies,,6290
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/04/2021,Paperless Post,,Paperlesspost.com,NY,NY,10006,$80.00,Invitations,,6292
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,05/24/2021,Wix,,wix.com,San Francisco,CA,94158,$168.00,Web services,,6293
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,04/22/2021,Google ,,Google.com,Mountain View,CA,94043,$39.69,Web services,,6294
1284,Michael for Boulder,Official Candidate Committee,2021-OCC-012,Michael Christy,08/08/2021,Invalid Date,3 days after committee certification,08/02/2021,TundraFMP,,3825 Walnut Ave,Boulder,CO,80301,$111.61,Supplies,,6295
1285,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,08/06/2021,Invalid Date,3 days after committee certification,08/22/2020,Google LLC,,1600 Amphitheatre Pkwy,Mountain View,CO,94043,$24.00,Website domain names,,6287
1285,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,08/06/2021,Invalid Date,3 days after committee certification,08/02/2021,Amazon.com Services LLC,,410 Terry Ave. North,Seattle,CO,98109,$15.88,Hot pink megaphone,,6289
1285,Together with Nicole Speer,Official Candidate Committee,2021-OCC-005,Nicole Speer,08/06/2021,Invalid Date,3 days after committee certification,07/31/2021,Squarespace; Inc.,,225 Varick St.; 12th Floor,New York; NY,CO,10014,$26.00,Website hosting,,6291
1286,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/09/2021,Invalid Date,3 days after committee certification,08/06/2021,Square Space,,225 Varick St;12th Floor,New York,NY,10014,$26.00,Website,,6305
1286,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/09/2021,Invalid Date,3 days after committee certification,07/17/2021,GoDaddy.com LLC,,14455 N. Hayden Rd; Suite 219,Scottsdale,AZ,85260,$15.34,Domain registration,,6306
1286,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/09/2021,Invalid Date,3 days after committee certification,07/18/2021,GoDaddy.com LLC,,14455 N. Hayden Rd; Suite 219,Scottsdale,AZ,85260,$22.34,Domain registration,,6307
1286,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/09/2021,Invalid Date,3 days after committee certification,08/02/2021,Studio Half Caff,,615 Merlin Dr; Apt 202,Lafayette,CO,80026,$800.00,Logo Design,,6308
1286,Dan for Boulder Council,Official Candidate Committee,2021-OCC-013,Daniel Williams,08/09/2021,Invalid Date,3 days after committee certification,08/09/2021,Next Day Flyers,,8000 Haskell Ave,Van Nuys,CA,91406,$86.68,Postcard and custom printing,,6312
1289,Matt Benjamin for Council,Official Candidate Committee,2021-OCC-008,Matthew Benjamin,08/09/2021,Invalid Date,3 days after committee certification,08/02/2021,Sticker Giant,,880 Weaver Park Rd.,Longmont,CO,80501,$188.39,Campaign stickers,,6309
1289,Matt Benjamin for Council,Official Candidate Committee,2021-OCC-008,Matthew Benjamin,08/09/2021,Invalid Date,3 days after committee certification,08/02/2021,Inprint.com,,14550 Beechnut St.,Houston,TX,77083,$980.00,Campaign Yard Signs,,6310
1290,Wallach for Council,Official Candidate Committee,2021-OCC-006,Mark Wallach,08/16/2021,Invalid Date,Additional Matching Funds,08/10/2021,PayPal,,2211 North First Street San Jose; California 95131,San Jose,CO,95131,$52.84,PayPal Fees,,6311
