FAC_NAME,FAC_CITY,FAC_STATE,FAC_COUNTY,FAC_LAT,FAC_LONG,NPDES_IDS
ROSEBUD SIOUX TRIBAL WASTEWATER TREATMENT PLT,ROSEBUD,SD,TODD,43.23269,-100.85299,
MANSFIELD WATER USERS ASSOCIATION,,SD,BROWN,45.589254,-98.352175,
"IM 0909(89)379, MINNEHAHA COUNTY",HARTFORD,SD,MINNEHAHA COUNTY,43.608834,-96.990196,SDR10P051
TEA DAIRY QUEEN,TEA,SD,,43.446551,-96.93474,SDR10L008
CANYON SPRINGS WATER AND SEWER DISTR-TREAT SITE-#1,BLACK HAWK,SD,PENNINGTON,44.179163,-103.336656,
DAKOTA AG INNOVATIONS LLC,MITCHELL,SD,DAVISON,43.71647,-98.06863,
NEW OFFICE BUILDING,SIOUX FALLS,SD,LINCOLN COUNTY,43.478,-96.728,SDR10K474
VERMILLION,,SD,CLAY,42.912997,-96.979795,
GRANT-ROBERTS RURAL WATER SYSTEM,,SD,GRANT,45.172637,-96.772261,
BURNS BROTHERS INCORPORATED (FORMER),SPENCER,SD,MCCOOK,43.665905,-97.585499,
YANKTON DRUM SITE (C&C HAULING AND CONSTRUCTION PROPERTY),YANKTON,SD,YANKTON,42.887955,-97.39349,
VEBLEN,,SD,MARSHALL,45.737054,-97.580884,
DIAMOND FIELD ESTATES - PHASE 3,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.509722,-96.643332,SDR10I494
MCINTOSH FACILITY,MC INTOSH,SD,CORSON,45.92038,-101.361479,
"P 0065(17)164, CORSON, DEWEY, & ZIEBACH, PCN 06L0",ISABEL,SD,DEWEY COUNTY,45.402,-101.4293,NDR10I037
YANKTON COUNTY HIGHWAY DEPARTMENT,YANKTON,SD,PORTABLE SOURCE,42.887955,-97.39349,
FLANDREAU PUBLIC SCHOOLS,FLANDREAU,SD,MOODY,44.05125,-96.6031,
GRASSLANDS ADDITION - PHASE 3,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.5775,-96.786389,SDR10K166
LEOLA SUBSTATION GRADING,LEOLA,SD,MCPHERSON COUNTY,45.78,-98.889722,SDR10K229
HOSKINS STORAGE,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.55349,-96.78538,SDR10K217
BOWDLE LIVESTOCK EXCHANGE,,SD,,44.446796,-100.238176,
GRANDVIEW PARK ADDITION,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.541389,-96.684443,SDR10J959
BHHEC-LADIES' DORM,,SD,,44.446796,-100.238176,
LOCKHORST SWINE,UNKNOWN,SD,,42.954515,-96.667998,SDR10H778
AG WASTE STORAGE SYSTEM,PUKWANA,SD,BRULE COUNTY,43.7486,-99.209699,SDR10J978
GLOBAL POLYMER INDUSTRIES INC,MADISON,SD,LAKE,43.988797,-97.098755,
PCN 06FT,WATERTOWN,SD,,44.8901,-97.0569,SDR10P352
STEVE PETERSEN'S SCRAPYARD,TABOR,SD,BON HOMME,42.956247,-97.689063,
COLLECTOR WELL 72,RENNER,SD,MINNEHAHA COUNTY,43.65333,-96.721847,SDR10P102
GFP 14-B/LITTLE MOREAU LAKE,,SD,,44.446796,-100.238176,
RANDYS BODY SHOP,CLAIRE CITY,SD,ROBERTS,45.85549,-97.10377,
BRIARWOOD ESTATES PHASES 3 & 4,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.497306,-96.665833,SDR10J608
WR/LJ - MELLETTE EAST,,SD,MELLETTE,43.58493,-100.760598,
ELK CREEK RANCHETTES,,SD,LAWRENCE,44.353669,-103.796528,
WALMART SUPERCENTER #1604,RAPID CITY,SD,PENNINGTON,44.09805,-103.20175,
THE OUTER LIMITS,,SD,,44.446796,-100.238176,
SAB BIOTHERAPEUTICS,SIOUX FALLS,SD,MINNEHAHA,43.595298,-96.699816,
FISHER SAND & GRAVEL,SOUTH DAKOTA,SD,PENNINGTON COUNTY,46.87978,-102.785251,
21ST CENTURY RECYCLING,LEOLA,SD,MCPHERSON,45.71954,-98.944516,
TULARE,,SD,SPINK,44.931034,-98.339644,
TEA DAIRY QUEEN,TEA,SD,LINCOLN COUNTY,43.4525,-96.826944,SDR10K350
MCLAUGHLIN PUMP STATION,MCLAUGHLIN,SD,CORSON COUNTY,45.8325,-100.8116,NDR10I01G
PCN 06YQ,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.5362,-96.6304,SDR10P215
CROOKED OAK CANYON HOMEOWNERS,,SD,MEADE,44.606792,-102.715864,
LIBERTY PARK SUBDIVISION PH 4,BOX ELDER,SD,,44.1308,-103.0515,SDR10P319
"BRF 6259(06), PCN 03GU, STRUCTURE REPLACEMENT & APPROACH GRADING",WHITE HORSE,SD,TODD COUNTY,45.2695,-100.8618,SDR10I014
"JERRYS AUTO BODY, INC.",LENNOX,SD,LINCOLN,43.345049,-96.885792,
PIVOT POWER INC,SIOUX FALLS,SD,LINCOLN,43.45822,-96.79384,
OGLALA LAKOTA COLLEGE,PINE RIDGE RESERVATION,SD,SHANNON,43.362944,-102.236583,SDG589527
O'REILLY AUTO PARTS STORE 2066,SIOUX FALLS,SD,MINNEHAHA,43.54335,-96.66886,
"TULARE, TOWN OF",TULARE,SD,SPINK,44.741046,-98.525705,SD0021911 SDG821911
RIVER RUN ADDITION,BROOKINGS,SD,BROOKINGS COUNTY,44.2805,-96.8175,SDR10K544
"RAPID CITY, CITY OF (WTP)",RAPID CITY,SD,PENNINGTON,44.08285,-103.22643,SDG860020
HANSEN MANUFACTURING CORP,HARTFORD,SD,MINNEHAHA,43.543354,-96.947045,
"P 0010(129)282, BROWN COUNTY",HOUGHTON,SD,BROWN COUNTY,45.76305,-98.310718,SDR10P044
GFP 2-B/ROY LAKE-NEW SHOP,,SD,,44.446796,-100.238176,
BAE SYSTEMS LAND & ARMAMENTS LP,ABERDEEN,SD,BROWN,45.474367,-98.495324,
BLACK HILLS CENTRAL RAILROAD,HILL CITY,SD,PENNINGTON,42.954417,-73.216835,
"ENGINEERED CONCRETE PRODUCTS, LLC",RAPID CITY,SD,PENNINGTON,44.14501,-103.13105,
"WETONKA, TOWN OF",,SD,,44.446796,-100.238176,
CANDLE DEVELOPMENT LLC,TEA,SD,LINCOLN,43.451528,-96.8064,
2020 WILMOT & SUMMIT FTTH PROJECT,UNKNOWN,SD,PENNINGTON COUNTY,45.42857,-96.861868,SDR10J975
COMPUTER CPR,ABERDEEN,SD,BROWN,45.469763,-98.48806,
"STEELE COLLISION, INC.",CUSTER,SD,CUSTER,43.76969,-103.59251,
NEW ZEALAND MILK PRODUCTS (FORMER),SIOUX FALLS,SD,MINNEHAHA,43.55496,-96.74739,
NORTHERN STATES POWER D/B/A XCEL ENERGY,SIOUX FALLS,SD,MINNEHAHA,43.530702,-96.799828,
SPORTSMAN'S BAR,,SD,,44.446796,-100.238176,
STURGIS PUBLIC WORKS CAMPUS,STURGIS,SD,MEADE COUNTY,44.416626,-103.510839,SDR10J123
LANDSTROM'S BLACK HILLS GOLD JEWELRY,RAPID CITY,SD,PENNINGTON,44.083668,-103.243381,
PCN 03RA,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.5149,-96.7804,SDR10P184
GAYVILLE,,SD,YANKTON,43.006607,-97.388339,
AIRWAY AUTO SERVICE,SIOUX FALLS,SD,MINNEHAHA,43.57017,-96.76779,
"BRENTWOOD HUTTERIAN BRETHRENS, INC.",FAULKTON,SD,FAULK COUNTY,45.152204,-99.308622,
HURON MAINTENANCE FACILITY,HURON,SD,BEADLE,44.364814,-98.203008,
IVERSON FORD - CDJR,HURON,SD,BEADLE COUNTY,44.336332,-98.213572,SDR10J499
ZEPHIER'S VIDEO & GAS,KYLE,SD,SHANNON,44.08482,-103.56552,
RMR INDUSTRIES (FORMER LOCATION),WATERTOWN,SD,CODINGTON,44.89017,-97.131865,
P 0015(83)199,WILMOT,SD,ROBERTS COUNTY,45.413035,-96.883371,SDR10P059
BLUE WING RECREATION AREA-TREAT SITE - #2,RAPID CITY,SD,PENNINGTON,44.079112,-103.215617,
VOLGA GAS STOP,VOLGA,SD,BROOKINGS,44.210377,-96.978916,
BAR-N SILO,,SD,,44.446796,-100.238176,
MUNDT'S RESORT,,SD,,44.446796,-100.238176,
PHASE 2 GROOMERS CHOICE,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.595128,-96.768625,SDR10K056
GRASSY KNOLL AND COTTONWOOD GROVE FARMS,WHITE RIVER,SD,MELLETTE COUNTY,43.5799,-100.8709,SDR10I01U
LAKE POINSETT ESTATES,ARLINGTON,SD,HAMLIN,44.363759,-97.141434,
REPUBLIC ROAD CONSTRUCTION,SUMMERSET,SD,MEADE COUNTY,44.189889,-103.341972,SDR10K614
MOONLIGHT APTS & VALLEY DR WATER MAIN,RAPID CITY,SD,PENNINGTON COUNTY,44.074977,-103.171182,SDR10K461
MCLAUGHLIN,,SD,CORSON,45.69834,-101.176017,
DAILEY DRIVE LIFT STATION,MITCHELL,SD,DAVISON COUNTY,43.765614,-98.066533,SDR10K319
VALLEY SPRINGS/CITY HALL,VALLEY SPRINGS,SD,MINNEHAHA,43.58264,-96.46779,
"EMERY, CITY OF",EMERY,SD,HANSON,43.614389,-97.613917,SD0021741
GCP APPLIED TECHNOLOGIES INC. @ GAGE BROTHERS,SIOUX FALLS,SD,MINNEHAHA,43.577802,-96.681663,
MINNEHAHA STR. 50-272-030 STRUCTURE REPLACEMENT & APPROACH GRADING,DELL RAPIDS,SD,,43.8044,-96.5873,SDR10P51Y
LOT 2 WILLOW CREEK VILLAGE SECOND ADDITION,WATERTOWN,SD,CODINGTON COUNTY,44.890617,-97.078011,SDR10H420
DUNES MEDICAL LABORATORIES,DAKOTA DUNES,SD,UNION,42.50572,-96.49902,
BROOKINGS-DEUEL RURAL WATER SYSTEM,,SD,BROOKINGS,44.376675,-96.797797,
FORT THOMPSON WATER SYS,FORT THOMPSON,SD,BUFFALO,44.121587,-99.460535,
NORDSTROMS AUTOMOTIVE,GARRETSON,SD,MINNEHAHA,43.70819,-96.5114,
SEDONA FLATS,RAPID CITY,SD,PENNINGTON COUNTY,44.034208,-102.789042,SDR10K557
SHEESLEY PLUMBING & HEATING CO,RAPID CITY,SD,PENNINGTON,44.198633,-103.247793,
SKYVIEW JUNCTION,ELKTON,SD,DAVIS,44.227496,-96.480837,
"DAKOTA TRANSPORTATION SERVICES, INC",SIOUX FALLS,SD,LINCOLN,43.464708,-96.797399,
RUSHMORE BARN & CABINS,RAPID CITY,SD,PENNINGTON COUNTY,43.96115,-103.35622,SDR10K270
R BAR AND GRILL,MARTIN,SD,BENNETT,43.156508,-102.029846,
BRIARWOOD ESTATES PHASE 6,SIOUX FALLS,SD,LINCOLN COUNTY,43.494194,-96.666443,SDR10J609
MARK AND DAN JOHNSON,MADISON,SD,LAKE,44.00061,-96.96226,
MAXWELL COLONY,,SD,BON HOMME,42.986031,-97.885613,
WESTSIDE PARK - POND IMPROVEMENTS,YANKTON,SD,YANKTON COUNTY,42.8735,-97.4067,SDR10K712
"NEWELL, CITY OF",NEWELL,SD,BUTTE COUNTY,44.724296,-103.417254,SDG820494
HILLS DRIVE INN,,SD,,44.446796,-100.238176,
SLYS AERIAL SPRAYING,PUKWANA,SD,BRULE,43.777934,-99.183195,
LEMMON GOLF COURSE,LEMMON,SD,PERKINS,45.93845,-102.159335,
OMNI-LYTE ENVIRO USA LLC,SUMMIT,SD,,45.19406,-97.081515,
SWIFT BIRD WATER SYSTEM,,SD,,44.446796,-100.238176,
CASEYS GENERAL STORE #4302 - SIOUX FALLS SD,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.542858,-96.632065,SDR10P271
THORPE F L & CO INC,DEADWOOD,SD,LAWRENCE,44.3723,-103.72755,
NORTHWOOD FIRST SUBDIVISION,,SD,BROWN,45.589254,-98.352175,
IRON CREEK LAKE STORE-TREAT SITE - SPRING/WELL,SPEARFISH,SD,LAWRENCE,44.498478,-103.890276,
PIERRE WTP & INTAKE IMPROVEMENTS,PIERRE,SD,HUGHES COUNTY,44.371309,-100.36429,SDR10J986
DAYS END CAMPGROUND,,SD,,44.446796,-100.238176,
"SIOUX FALLS, CITY OF - HHHW",SIOUX FALLS,SD,MINNEHAHA,43.56968,-96.71267,
FARMERS COOP ASSOCIATION OF MITCHELL,MITCHELL,SD,DAVISON,43.701944,-98.042161,
ALL METAL MANUFACTURING INCORPORATED,RAPID CITY,SD,PENNINGTON,44.120965,-103.282327,
CAMPGROUND,ARLINGTON,SD,KINGSBURY COUNTY,44.547778,-97.130555,SDR10J374
BON HOMME-YANKTON I RWS,,SD,,44.446796,-100.238176,
SAGEBRUSH FLATS,RAPID CITY,SD,,44.0808,-103.1966,SDR10P517
KLEIN AVENUE NEIGHBORHOOD RECONSTRUCTION PROGRAM STREET & UTILITY IMPROVEMENTS,SIOUX FALLS,SD,,43.514,-96.8258,SDR10P512
JASON'S TRUCK & AUTO BODY INC.,ABERDEEN,SD,BROWN,45.45479,-98.48856,
SCOTTS LUMBER WAREHOUSE,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.509665,-96.736308,SDR10K798
ALPENA,,SD,JERAULD,44.063416,-98.623188,
MAGNUM TRUCKING,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.6087,-96.7034,SDR10J714
VAN DEMARK BUILDING N PARKING IMPROVEMENTS,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.583146,-96.741898,SDR10K361
P-PH 0015(77)155/P-PH 0020(152)439 DEUEL/GRANT COU,LABOLT,SD,GRANT COUNTY,45.034511,-96.637935,SDR10P080
DE SMET LIVESTOCK SALE BARN,,SD,,44.446796,-100.238176,
AMERICAN TEL & TEL CO LONG LINES,LUDLOW,SD,HARDING,45.813687,-103.438345,
HARVEST STATES COOP,LEMMON,SD,PERKINS,45.943555,-102.154718,
"WATERTOWN, CITY OF (BIOSOLIDS)",WATERTOWN,SD,CODINGTON,44.885004,-97.099607,SDL023370 SDLG23370
BERRY PATCH CAMPGROUND,RAPID CITY,SD,PENNINGTON,44.198633,-103.247793,
"HUB CITY ENERGY, LLC",ABERDEEN,SD,BROWN,45.4586,-98.5429,
COMMUNITY OIL COMPANY,ARLINGTON,SD,BROOKINGS,44.365087,-97.134764,
64-069-130 STRUCTURE REPLACEMENT,ALCESTER,SD,UNION COUNTY,42.894735,-96.667484,SDR10J963
ROSE STREET RECONSTRUCTION PROJECT 2018,ELK POINT,SD,UNION COUNTY,42.6875,-96.679721,SDR10J420
BRO 8041 (00),BELLE FOURCHE,SD,BUTTE COUNTY,44.593916,-103.829481,SDR10P136
BLUNT,,SD,HUGHES,44.392258,-99.985846,
BILLY BOJACK,HERMOSA,SD,CUSTER,43.75187,-103.25077,
CRESBARD SCHOOL,CRESBARD,SD,FAULK,45.17253,-98.94562,
RYKENS RV PARK (NEW RV PARK),YANKTON,SD,YANKTON COUNTY,42.870278,-97.46109,SDR10K098
CONCRETE MATERIALS,SIOUX FALLS,SD,MINNEHAHA,43.572906,-96.674428,
WHITETAIL COURT-LOWER,,SD,,44.446796,-100.238176,
KWIK STAR #1296,HARRISBURG,SD,,43.444,-96.7266,SDR10P51G
ABACO CLEANERS #2,SIOUX FALLS,SD,MINNEHAHA,43.51484,-96.766958,
SD NATIONAL GUARD READINESS CENTER,RAPID CITY,SD,PENNINGTON COUNTY,44.035833,-103.059444,SDR10J479
ROSLYN,,SD,DAY,45.362283,-97.593734,
GOLD RUSH SUBDIVISION,CUSTER,SD,CUSTER COUNTY,43.560903,-103.658489,SDR10J971
MILLBROOK COLONY,,SD,,44.446796,-100.238176,
LANGE TO LOOKOUT 230KV,RAPID CITY,SD,PENNINGTON COUNTY,44.119986,-103.260161,SDR10K168
FISHER SAND & GRAVEL COMPANY,SOUTH DAKOTA,SD,PENNINGTON COUNTY,46.87978,-102.785251,
LATC NORTH PARKING LOT EXPANSION,WATERTOWN,SD,CODINGTON COUNTY,44.9057,-97.0949,SDR10K366
LABELCRAFTERS OF SOUTH DAKOTA,SIOUX FALLS,SD,MINNEHAHA,43.561733,-96.69144,
GEDDES  CITY OF WWTP,GEDDES,SD,CHARLES MIX,43.255483,-98.697032,
SOUTHERN MISSOURI RECYCLING & WASTE MANAGEMENT DISTRICT,LAKE ANDES,SD,CHARLES MIX,43.169149,-98.574445,SD0028637
PERKINS COUNTY RURAL WATER,BISON,SD,PERKINS,45.52237,-102.45942,
USFS-BHNF JENNY GULCH PICNIC AREA,,SD,,44.446796,-100.238176,
ASPEN HEIGHTS ADDITION,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.561836,-96.805708,SDR10D290
OST SANITATION AND MAINTENANCE,,SD,,44.446796,-100.238176,
RAPID WASH SOUTH - CAR WASH,RAPID CITY,SD,PENNINGTON COUNTY,44.034167,-103.212222,SDR10J761
STATE VETERANS HOME,HOT SPRINGS,SD,FALL RIVER,43.433953,-103.480193,
CROOKS SHARED USE PATH,CROOKS,SD,MINNEHAHA COUNTY,43.664269,-96.811257,SDR10J853
JONES COUNTY SCHOOL DISTRICT 37-3,MURDO,SD,JONES,43.88757,-100.70764,
TITAN MACHINERY INC. (FORMER),WATERTOWN,SD,CODINGTON,44.8905,-97.06295,
ZABEL BATTERY SITE,SIOUX FALLS,SD,MINNEHAHA,43.54602,-96.73174,
DAN DUGAN TRANSPORT CO,SIOUX FALLS,SD,LINCOLN,43.515018,-96.741105,
WILLOW LAKE CITY OF WWTP,WILLOW LAKE,SD,CLARK,44.63093,-97.6437,
REMUDA ENERGY,CAMP CROOK,SD,YELLOWSTONE COUNTY,45.75533,-108.535473,
THE CASCADE AT UPTOWN,SIOUX FALLS,SD,MINNEHAHA,43.55543,-96.72679,SD0028635
ROSEBUD UTILITIES COMMISSION,,SD,,44.446796,-100.238176,
DEER RUN ESTATES,,SD,UNION,42.831106,-96.650829,
TARGET STORE T0859,WATERTOWN,SD,CODINGTON,44.89005,-97.08163,
NORTH PORT APARTMENTS,NORTH SIOUX CITY,SD,UNION COUNTY,42.538889,-96.501944,SDR10K747
SUNNY HAVEN DEVELOPMENT,HARRISBURG,SD,LINCOLN COUNTY,43.442214,-96.735336,SDR10K201
IM 0909(00)395 PCN 08AH I-90 & MARION RD,SIOUX FALLS,SD,MINNEHAHA COUNTY,43.610691,-96.791078,SDR10K138
POINSETT COLONY,,SD,,44.446796,-100.238176,
SCOTLAND,UNK,SD,BON HOMME,42.986031,-97.885613,
"METRIX, LLC",WATERTOWN,SD,CODINGTON,44.89507,-97.05248,
PORCUPINE DAY SCHOOL,PORCUPINE,SD,SHANNON COUNTY,43.2485,-102.3298,SDR10I01D
AGLAND COOP,PARKSTON,SD,HUTCHINSON,43.385963,-97.970924,
