stage_value_display_sortable,data_provider,abbrev,stage_value_display,station_num,meas_value_display_sortable,meas_flagb,wd,meas_flaga,row_color,water_source,gnis_id,detailsLink,contr_area,st,meas_value,modified,cty,station_type,modifiedDate,meas_units,stage_flagb,stage_flaga,stream_mile,symbol_shape,longdecdeg,meas_value_display,drain_area,huc10,location_accuracy,more_information,parameter,utm_y,utm_x,station_name,symbol_color,stage_value,symbol_scale,data_category,county,latdecdeg,stage_units,station_name_display,div,usgs_station_id,meas_date_time,wdid,stage_parameter
null,DWR,1201156A,null,9816,3.0100000000000002,null,12,O,null,WEST BEAVER CREEK,00191210,1201156A,null,CO,3.0100000000000002,/Date(1639015879483)/,21,Stream Gage,/Date(1638946800000)/,cfs,null,null,17.67,Circle,-105.068172,3.01 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1201156A?params=DISCHRG,DISCHRG,4295530.0,494081.0,WEST BEAVER CREEK FLUME,Blue,null,13,Surface Water,EL PASO,38.808516,null,WEST BEAVER CREEK FLUME,2,null,/Date(1639011600000)/,1201156,null
null,DWR,124OUTCO,null,9694,0,null,2,O,null,SOUTH PLATTE RIVER,00201759,124OUTCO,null,CO,0,/Date(1639018100290)/,1,Stream Gage,/Date(1638946800000)/,cfs,null,null,224.6,Circle,-104.859479,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/124OUTCO?params=DISCHRG,DISCHRG,4418668.0,512010.0,124TH AVE RESERVOIR RESLEASE,Blue,null,13,Surface Water,ADAMS,39.918029,null,124TH AVE RESERVOIR RESLEASE,1,null,/Date(1639017900000)/,0203324,null
null,DWR,124RTNCO,null,9695,0,null,2,O,null,SOUTH PLATTE RIVER,00201759,124RTNCO,null,CO,0,/Date(1639018100290)/,1,Diversion Structure,/Date(1638946800000)/,cfs,null,null,224.56,Circle,-104.857635,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/124RTNCO?params=DISCHRG,DISCHRG,4419041.0,512167.0,BRIGHTON'S FULTON DITCH 124TH AVE AUG RTN,Green,null,13,Surface Water,ADAMS,39.921387,null,BRIGHTON'S FULTON DITCH 124TH AVE AUG RTN,1,null,/Date(1639017900000)/,0202924,null
null,DWR,1400589A,null,9800,0,null,14,O,null,ARKANSAS RIVER,00078956,1400589A,null,CO,0,/Date(1639018220320)/,51,Diversion Structure,/Date(1638946800000)/,cfs,null,null,198.72,Circle,-104.671541,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1400589A?params=DISCHRG,DISCHRG,4235893.9,528731.6,PBWW NORTHSIDE INTAKE (HIGH FLOW),Green,null,13,Surface Water,PUEBLO,38.270632,null,PBWW NORTHSIDE INTAKE (HIGH FLOW),2,null,/Date(1639017000000)/,1400589,null
null,DWR,1400589B,null,9801,0,null,14,O,null,ARKANSAS RIVER,00078956,1400589B,null,CO,0,/Date(1639018220320)/,51,Diversion Structure,/Date(1638946800000)/,cfs,null,null,198.72,Circle,-104.671541,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1400589B?params=DISCHRG,DISCHRG,4235893.9,528731.6,PBWW NORTHSIDE INTAKE (LOW FLOW),Green,null,13,Surface Water,PUEBLO,38.270632,null,PBWW NORTHSIDE INTAKE (LOW FLOW),2,null,/Date(1639017000000)/,1400589,null
null,DWR,1400618A,null,9803,13.9,null,14,O,null,ARKANSAS RIVER,00078956,1400618A,null,CO,13.9,/Date(1639018220383)/,51,Diversion Structure,/Date(1638946800000)/,cfs,null,null,201.43,Circle,-104.7078,13.9 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1400618A?params=DISCHRG,DISCHRG,4234795.2,525563.3,COMANCHE PUMP STATION,Green,null,13,Surface Water,PUEBLO,38.260826,null,COMANCHE PUMP STATION,2,null,/Date(1639017000000)/,1400618,null
null,DWR,1400620A,null,9804,20.6,null,14,O,null,ARKANSAS RIVER,00078956,1400620A,null,CO,20.6,/Date(1639018220337)/,51,Diversion Structure,/Date(1638946800000)/,cfs,null,null,192.0,Circle,-104.572998,20.6 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/1400620A?params=DISCHRG,DISCHRG,4234294.7,537359.1,PUEBLO WASTEWATER PLANT,Green,null,13,Surface Water,PUEBLO,38.255902,null,PUEBLO WASTEWATER PLANT,2,null,/Date(1639017000000)/,1400620,null
null,DWR,1400639A,null,9802,23,null,14,O,null,ARKANSAS RIVER,00078956,1400639A,null,CO,23,/Date(1639018220383)/,51,Diversion Structure,/Date(1638946800000)/,cfs,null,null,203.06,Circle,-104.724877,23 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/1400639A?params=DISCHRG,DISCHRG,4235568.0,524067.0,PBWW PUEBLO DAM INLET,Green,null,13,Surface Water,PUEBLO,38.267832,null,PBWW PUEBLO DAM INLET,2,null,/Date(1639017000000)/,1400639,null
null,DWR,70ROUTCO,null,8794,3.6,null,1,O,null,SOUTH PLATTE RIVER,00201759,70ROUTCO,null,CO,3.6,/Date(1639017830497)/,62,Diversion Structure,/Date(1638946800000)/,cfs,null,null,null,Triangle,-104.423317,3.6 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/70ROUTCO?params=DISCHRG,DISCHRG,4465880.0,548980.0,70 RANCH RESERVOIR OUTLET,Blue,null,13,Surface Water,WELD,40.342037,null,70 RANCH RESERVOIR OUTLET,1,null,/Date(1639017000000)/,0103028,null
null,DWR,70RRESCO,null,8792,2864,null,1,O,null,SOUTH PLATTE RIVER,00201759,70RRESCO,null,CO,2864,/Date(1639017830370)/,62,Storage Structure,/Date(1638946800000)/,ACFT,null,null,null,Triangle,-104.423309,2864 ACFT,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/70RRESCO?params=STORAGE,STORAGE,4465674.0,548982.0,70 RANCH RESERVOIR,Blue,null,13,Surface Water,WELD,40.340182,null,70 RANCH RESERVOIR,1,null,/Date(1639017000000)/,0103028,null
null,DWR,70RRINCO,null,8793,0,null,1,O,null,SOUTH PLATTE RIVER,00201759,70RRINCO,null,CO,0,/Date(1639017830540)/,62,Diversion Structure,/Date(1638946800000)/,cfs,null,null,158.14,Circle,-104.423317,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/70RRINCO?params=DISCHRG,DISCHRG,4465880.0,548980.0,70 RANCH RESERVOIR INLET FROM RIVER PUMP,Green,null,13,Surface Water,WELD,40.342037,null,70 RANCH RESERVOIR INLET FROM RIVER PUMP,1,null,/Date(1639017000000)/,0100911,null
null,DWR,8000667A,null,9489,0,null,80,O,null,NORTH FORK SOUTH PLATTE RIVER,00183164,8000667A,null,CO,0,/Date(1639016511340)/,47,Diversion Structure,/Date(1638946800000)/,cfs,null,null,26.3,Circle,-105.470348,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/8000667A?params=DISCHRG,DISCHRG,4361687.0,459505.0,CIRCLE C RANCH BAILEY CO; S SIDE DITCH,Green,null,13,Surface Water,PARK,39.403745,null,CIRCLE C RANCH BAILEY CO; S SIDE DITCH,1,null,/Date(1639016100000)/,8000667,null
null,DWR,8000668A,null,9490,0,null,80,O,null,NORTH FORK SOUTH PLATTE RIVER,00183164,8000668A,null,CO,0,/Date(1639016511230)/,47,Diversion Structure,/Date(1638946800000)/,cfs,null,null,26.21,Circle,-105.469071,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/8000668A?params=DISCHRG,DISCHRG,4361701.0,459615.0,CIRCLE C RANCH BAILEY CO; N SIDE DITCH,Green,null,13,Surface Water,PARK,39.403877,null,CIRCLE C RANCH BAILEY CO; N SIDE DITCH,1,null,/Date(1639016100000)/,8000668,null
null,DWR,8002400A,null,9767,0,null,80,O,null,NORTH FORK SOUTH PLATTE RIVER,00183164,8002400A,null,CO,0,/Date(1639016390383)/,47,Diversion Structure,/Date(1638946800000)/,cfs,null,null,null,Circle,-105.4636,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/8002400A?params=DISCHRG,DISCHRG,4361498.0,460085.0,CIRCLE C RANCH BAILEY CO; N & S SIDE TAIL DITCH,Green,null,13,Surface Water,PARK,39.402069,null,CIRCLE C RANCH BAILEY CO; N & S SIDE TAIL DITCH,1,null,/Date(1639016100000)/,8002400,null
null,DWR,8003522A,null,9786,0.1,null,80,O,null,ROLAND GULCH,00183261,8003522A,null,CO,0.1,/Date(1639016390600)/,47,Stream Gage,/Date(1638946800000)/,cfs,null,null,5.53,Circle,-105.437813,0.1 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/8003522A?params=DISCHRG,DISCHRG,4367402.0,462334.0,DOZIER # 3 RES OUTLET BELOW,Blue,null,13,Surface Water,PARK,39.455368,null,DOZIER # 3 RES OUTLET BELOW,1,null,/Date(1639016100000)/,8003522,null
null,DWR,8003526A,null,9785,0.12,null,80,O,null,ROLAND GULCH,00183261,8003526A,null,CO,0.12,/Date(1639016390570)/,47,Stream Gage,/Date(1638946800000)/,cfs,null,null,6.79,Circle,-105.445491,0.12 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/8003526A?params=DISCHRG,DISCHRG,4369340.0,461683.0,DOZIER # 7 RES INLET ABOVE,Blue,null,13,Surface Water,PARK,39.472802,null,DOZIER # 7 RES INLET ABOVE,1,null,/Date(1639016100000)/,8003526,null
null,DWR,ABBDITCO,null,7569,0,null,2,O,null,GRAFLIN SLOUGH,00020003,ABBDITCO,null,CO,0,/Date(1639016551100)/,62,Diversion Structure,/Date(1638946800000)/,cfs,null,null,1.3,Circle,-104.854121,0 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/ABBDITCO?params=DISCHRG,DISCHRG,4450373.0,512416.0,ABBETT DITCH,Green,null,13,Surface Water,WELD,40.203675,null,ABBETT DITCH,1,null,/Date(1639015200000)/,0200887,null
1.1400000000000001,DWR,ABCLATCO,1.14 ft,1572,0.267,null,41,O,null,CEDAR CREEK,00186823,ABCLATCO,null,CO,0.267,/Date(1639017920400)/,43,Diversion Structure,/Date(1638946800000)/,cfs,null,O,16.68,Circle,-107.750198,0.267 cfs,0,14020006,User supplied,https://dwr.state.co.us/Tools/Stations/ABCLATCO?params=DISCHRG1,DISCHRG1,4263221.0,260119.0,ABC LATERAL,Green,1.1400000000000001,13,Surface Water,MONTROSE,38.485076,ft,ABC LATERAL,4,null,/Date(1639017000000)/,4101155,GAGE_HT1
0.46,DWR,ABRJPOCO,0.46 ft,9284,0.712,null,37,O,null,ABRAMS CREEK,00175865,ABRJPOCO,null,CO,0.712,/Date(1639016509840)/,19,Stream Gage,/Date(1638946800000)/,cfs,null,O,5.23,Circle,-106.860548,0.712 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/ABRJPOCO?params=DISCHRG,DISCHRG,4383521.0,340226.0,ABRAMS CREEK ABOVE JPO,Blue,0.46,13,Surface Water,EAGLE,39.586535,ft,ABRAMS CREEK ABOVE JPO,5,null,/Date(1639016100000)/,3702088,GAGE_HT
1.67,DWR,ADATUNCO,1.67 ft,1203,126,null,4,O,null,COLORADO RIVER,00045730,ADATUNCO,null,CO,126,/Date(1639015879577)/,35,Diversion Structure,/Date(1638946800000)/,cfs,null,O,282.58,Circle,-105.57837,126 cfs,null,10190006,User supplied,https://dwr.state.co.us/Tools/Stations/ADATUNCO?params=DISCHRG,DISCHRG,4464278.5,450867.5,ALVA B. ADAMS TUNNEL AT EAST PORTAL NEAR ESTES PARK,Green,1.67,13,Surface Water,LARIMER,40.327596,ft,ALVA B. ADAMS TUNNEL AT EAST PORTAL NEAR ESTES PARK,1,09013000,/Date(1639015200000)/,0404634,GAGE_HT
0.01,DWR,ADOAARCO,0.01 ft,3506,0,null,17,O,null,ADOBE CREEK,00195343,ADOAARCO,null,CO,0,/Date(1639016509870)/,31,Stream Gage,/Date(1638946800000)/,cfs,null,O,22.6,Circle,-103.292861,0 cfs,null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ADOAARCO?params=DISCHRG,DISCHRG,4236991.0,649340.0,ADOBE CREEK ABOVE ADOBE RESERVOIR,Blue,0.01,13,Surface Water,KIOWA,38.268565,ft,ADOBE CREEK ABOVE ADOBE RESERVOIR,2,null,/Date(1639016100000)/,1709500,GAGE_HT
-0.07,DWR,ADOBARCO,-0.07 ft,2919,0,null,17,O,null,ADOBE CREEK,00195343,ADOBARCO,null,CO,0,/Date(1639016869923)/,6,Stream Gage,/Date(1638946800000)/,cfs,null,O,11.54,Circle,-103.3324,0 cfs,null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ADOBARCO?params=DISCHRG,DISCHRG,4226377.0,646071.0,ADOBE CREEK BELOW ADOBE RESERVOIR,Blue,-0.07,13,Surface Water,BENT,38.173484,ft,ADOBE CREEK BELOW ADOBE RESERVOIR,2,null,/Date(1639016100000)/,1709501,GAGE_HT
4100.7300000000005,DWR,ADORESCO,"4100.73 ft <sup><span title=""Equipment malfunction"" style=""cursor: help;"">Eqp</span></sup>",2920,775,Eqp,17,O,null,ADOBE CREEK,00195343,ADORESCO,null,CO,775,/Date(1639015970037)/,6,Storage Structure,/Date(1638946800000)/,ACFT,null,O,16.86,Triangle,-103.240013,"775 ACFT <sup><span title=""Equipment malfunction"" style=""cursor: help;"">Eqp</span></sup>",null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ADORESCO?params=STORAGE,STORAGE,4236418.0,653976.0,ADOBE RESERVOIR,Blue,4100.7300000000005,13,Surface Water,BENT,38.26262,ft,ADOBE RESERVOIR,2,null,/Date(1639015200000)/,1703546,ELEV
0.1,DWR,ADOVALCO,0.10 ft,3471,0.326,null,17,O,null,ADOBE CREEK,00195343,ADOVALCO,null,CO,0.326,/Date(1639016869910)/,6,Diversion Structure,/Date(1638946800000)/,cfs,null,O,11.54,Circle,-103.332001,0.326 cfs,null,null,Digitized,https://dwr.state.co.us/Tools/Stations/ADOVALCO?params=DISCHRG,DISCHRG,4226376.9,646106.5,ADOBE VALLEY DITCH,Green,0.1,13,Surface Water,BENT,38.173478,ft,ADOBE VALLEY DITCH,2,null,/Date(1639016100000)/,1700560,GAGE_HT
null,DWR,AGGDITCO,null,7556,0,null,7,O,null,CLEAR CREEK,00181805,AGGDITCO,null,CO,0,/Date(1639015669550)/,30,Diversion Structure,/Date(1638946800000)/,cfs,null,null,16.83,Circle,-105.218208,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/AGGDITCO?params=DISCHRG,DISCHRG,4400861.0,481309.0,AGRICULTURAL DITCH,Green,null,13,Surface Water,JEFFERSON,39.757467,null,AGRICULTURAL DITCH,1,null,/Date(1639015200000)/,0700502,null
null,DWR,AGGLKWCO,null,8750,5.73,null,8,O,"rgba(255,255,100,0.9)",LAKEWOOD GULCH,00182130,AGGLKWCO,null,CO,5.73,/Date(1638911382743)/,30,Diversion Structure,/Date(1638860400000)/,cfs,null,null,5.94,Circle,-105.131918,5.73 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/AGGLKWCO?params=DISCHRG,"<span style=""color: red;"">DISCHRG</span>",4398360.0,488697.0,AGRICULTURAL DITCH RETURN TO LAKEWOOD GULCH,Green,null,13,Surface Water,JEFFERSON,39.735062,null,AGRICULTURAL DITCH RETURN TO LAKEWOOD GULCH,1,null,/Date(1638909000000)/,0802324,null
null,DWR,AGGRTNCO,null,7560,0,null,7,O,null,CLEAR CREEK,00181805,AGGRTNCO,null,CO,0,/Date(1639015669537)/,30,Diversion Structure,/Date(1638946800000)/,cfs,null,null,14.95,Circle,-105.187602,0 cfs,null,null,GPS,https://dwr.state.co.us/Tools/Stations/AGGRTNCO?params=DISCHRG,DISCHRG,4401946.0,483933.0,AGRICULTURAL DITCH RETURN TO CLEAR CREEK,Green,null,13,Surface Water,JEFFERSON,39.767296,null,AGRICULTURAL DITCH RETURN TO CLEAR CREEK,1,null,/Date(1639015200000)/,0702320,null
2,DWR,ALABELCO,2.00 ft,1510,2.22,null,21,O,null,ALAMOSA RIVER,00190624,ALABELCO,null,CO,2.22,/Date(1639017800220)/,11,Stream Gage,/Date(1638946800000)/,cfs,null,O,34.91,Circle,-106.278317,2.22 cfs,0,13010002,Digitized,https://dwr.state.co.us/Tools/Stations/ALABELCO?params=DISCHRG,DISCHRG,4134891.0,386788.0,"ALAMOSA RIVER BELOW TERRACE RESERVOIR, CO.",Blue,2,13,Surface Water,CONEJOS,37.353833,ft,"ALAMOSA RIVER BELOW TERRACE RESERVOIR, CO.",3,08236500,/Date(1639017000000)/,2102010,GAGE_HT
0.24,DWR,ALACANCO,"0.24 ft <sup><span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span></sup>",3771,null,Ssn,21,O,null,ALAMOSA RIVER,00190624,ALACANCO,null,CO,null,/Date(1639017380207)/,11,Diversion Structure,/Date(1638946800000)/,cfs,null,O,24.59,Circle,-106.151422,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ALACANCO?params=DISCHRG,DISCHRG,4128943.3,397955.7,ALAMOSA CREEK CANAL,Green,0.24,13,Surface Water,CONEJOS,37.301524,ft,ALAMOSA CREEK CANAL,3,null,/Date(1639017000000)/,2100503,GAGE_HT
0.58,DWR,ALARANCO,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",2771,18.900000000000002,null,21,O,null,ALAMOSA RIVER,00190624,ALARANCO,null,CO,18.900000000000002,/Date(1634767999660)/,11,Stream Gage,/Date(1634709600000)/,cfs,null,O,42.46,Circle,-106.378601,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ALARANCO?params=DISCHRG,"<span style=""color: red;"">DISCHRG</span>",4138987.0,377963.5,ALAMOSA RIVER BELOW RANGER CREEK NEAR JASPER,Blue,0.58,13,Surface Water,CONEJOS,37.389624,ft,ALAMOSA RIVER BELOW RANGER CREEK NEAR JASPER,3,null,null,2102009,GAGE_HT
0.8200000000000001,DWR,ALATERCO,"0.82 ft <sup><span title=""Ice affected"" style=""cursor: help;"">Ice</span></sup>",673,76.2,Ice,21,O,null,ALAMOSA RIVER,00190624,ALATERCO,null,CO,76.2,/Date(1639016990210)/,11,Stream Gage,/Date(1638946800000)/,cfs,null,O,39.06,Circle,-106.332877,"76.2 cfs <sup><span title=""Ice affected"" style=""cursor: help;"">Ice</span></sup>",107,13010002,User supplied,https://dwr.state.co.us/Tools/Stations/ALATERCO?params=DISCHRG,DISCHRG,4137248.0,381987.7,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",Blue,0.8200000000000001,13,Surface Water,CONEJOS,37.374474,ft,"ALAMOSA RIVER ABOVE TERRACE RESERVOIR, CO.",3,08236000,/Date(1639016100000)/,2102007,GAGE_HT
1.03,DWR,ALAWIGCO,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",2133,13.4,null,21,O,null,ALAMOSA RIVER,00190624,ALAWIGCO,null,CO,13.4,/Date(1634746602513)/,53,Stream Gage,/Date(1634709600000)/,cfs,null,O,53.33,Circle,-106.521503,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",37,13010002,User supplied,https://dwr.state.co.us/Tools/Stations/ALAWIGCO?params=DISCHRG,"<span style=""color: red;"">DISCHRG</span>",4140778.3,365339.2,"ALAMOSA RIVER ABOVE WIGHTMAN FORK NEAR JASPER, CO",Blue,1.03,13,Surface Water,RIO GRANDE,37.404014,ft,"ALAMOSA RIVER ABOVE WIGHTMAN FORK NEAR JASPER, CO",3,08235250,null,2102008,GAGE_HT
0.42,DWR,ALFECKCO,0.42 ft,2923,5.79,null,40,O,null,SURFACE CREEK,00175359,ALFECKCO,null,CO,5.79,/Date(1639018190413)/,15,Diversion Structure,/Date(1638946800000)/,cfs,null,O,8.45,Circle,-107.929185,5.79 cfs,null,14020005,User supplied,https://dwr.state.co.us/Tools/Stations/ALFECKCO?params=DISCHRG,DISCHRG,4304733.1,245816.4,"ALFALFA DITCH NEAR ECKERT, CO",Green,0.42,13,Surface Water,DELTA,38.854726,ft,"ALFALFA DITCH NEAR ECKERT, CO",4,null,/Date(1639017900000)/,4000751,GAGE_HT
0.06,DWR,ALFFRUCO,"0.06 ft <sup><span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span></sup>",2922,null,Ssn,40,O,null,ALFALFA RUN,00186502,ALFFRUCO,null,CO,null,/Date(1639016869940)/,15,Stream Gage,/Date(1638946800000)/,cfs,null,O,4.83,Circle,-107.955283,"<span title=""Parameter monitored seasonally"" style=""cursor: help;"">Ssn</span>",null,14020005,User supplied,https://dwr.state.co.us/Tools/Stations/ALFFRUCO?params=DISCHRG,DISCHRG,4301692.3,243449.7,"ALFALFA RUN BELOW FRUIT GROWERS RESERVOIR, CO",Blue,0.06,13,Surface Water,DELTA,38.826671,ft,"ALFALFA RUN BELOW FRUIT GROWERS RESERVOIR, CO",4,null,/Date(1639016100000)/,4003141,GAGE_HT
1.04,DWR,ALSOUTCO,1.04 ft,2411,0,null,45,O,null,EAST DIVIDE CREEK,00174793,ALSOUTCO,null,CO,0,/Date(1639016179700)/,39,Stream Gage,/Date(1638946800000)/,cfs,null,O,18.47,Circle,-107.481899,0 cfs,null,null,User supplied,https://dwr.state.co.us/Tools/Stations/ALSOUTCO?params=DISCHRG,DISCHRG,4356681.5,286087.3,ALSBURY RESERVOIR (OUTFLOW),Blue,1.04,13,Surface Water,MESA,39.333127,ft,ALSBURY RESERVOIR (OUTFLOW),5,null,/Date(1639016100000)/,4503695,GAGE_HT
